product_id,product_name,brand_id,category_id,model_year,list_price
1,trek_820_2016,9,6,2016,379.99
2,ritchey_timberwolf_frameset_2016,5,6,2016,749.99
3,surly_wednesday_frameset_2016,8,6,2016,999.99
4,trek_fuel_ex_8_29_2016,9,6,2016,2899.99
5,heller_shagamaw_frame_2016,3,6,2016,1320.99
6,surly_ice_cream_truck_frameset_2016,8,6,2016,469.99
7,trek_slash_8_275_2016,9,6,2016,3999.99
8,trek_remedy_29_carbon_frameset_2016,9,6,2016,1799.99
9,trek_conduit_2016,9,5,2016,2999.99
10,surly_straggler_2016,8,4,2016,1549.0
11,surly_straggler_650b_2016,8,4,2016,1680.99
12,electra_townie_original_21d_2016,1,3,2016,549.99
13,electra_cruiser_1_24inch_2016,1,3,2016,269.99
14,electra_girls_hawaii_1_16inch_20152016,1,3,2016,269.99
15,electra_moto_1_2016,1,3,2016,529.99
16,electra_townie_original_7d_eq_2016,1,3,2016,599.99
17,pure_cycles_vine_8speed_2016,4,3,2016,429.0
18,pure_cycles_western_3speed_womens_20152016,4,3,2016,449.0
19,pure_cycles_william_3speed_2016,4,3,2016,449.0
20,electra_townie_original_7d_eq_womens_2016,1,3,2016,599.99
21,electra_cruiser_1_24inch_2016,1,1,2016,269.99
22,electra_girls_hawaii_1_16inch_20152016,1,1,2016,269.99
23,electra_girls_hawaii_1_20inch_20152016,1,1,2016,299.99
24,electra_townie_original_21d_2016,1,2,2016,549.99
25,electra_townie_original_7d_20152016,1,2,2016,499.99
26,electra_townie_original_7d_eq_2016,1,2,2016,599.99
27,surly_big_dummy_frameset_2017,8,6,2017,999.99
28,surly_karate_monkey_275_frameset_2017,8,6,2017,2499.99
29,trek_xcaliber_8_2017,9,6,2017,999.99
30,surly_ice_cream_truck_frameset_2017,8,6,2017,999.99
31,surly_wednesday_2017,8,6,2017,1632.99
32,trek_farley_alloy_frameset_2017,9,6,2017,469.99
33,surly_wednesday_frameset_2017,8,6,2017,469.99
34,trek_session_dh_275_carbon_frameset_2017,9,6,2017,469.99
35,sun_bicycles_spider_3i_2017,7,6,2017,832.99
36,surly_troll_frameset_2017,8,6,2017,832.99
37,haro_flightline_one_st_2017,2,6,2017,379.99
38,haro_flightline_two_26_plus_2017,2,6,2017,549.99
39,trek_stache_5_2017,9,6,2017,1499.99
40,trek_fuel_ex_98_29_2017,9,6,2017,4999.99
41,haro_shift_r3_2017,2,6,2017,1469.99
42,trek_fuel_ex_5_275_plus_2017,9,6,2017,2299.99
43,trek_fuel_ex_98_275_plus_2017,9,6,2017,5299.99
44,haro_sr_11_2017,2,6,2017,539.99
45,haro_sr_12_2017,2,6,2017,869.99
46,haro_sr_13_2017,2,6,2017,1409.99
47,trek_remedy_98_2017,9,6,2017,5299.99
48,trek_emonda_s_4_2017,9,7,2017,1499.99
49,trek_domane_sl_6_2017,9,7,2017,3499.99
50,trek_silque_slr_7_womens_2017,9,7,2017,5999.99
51,trek_silque_slr_8_womens_2017,9,7,2017,6499.99
52,surly_steamroller_2017,8,7,2017,875.99
53,surly_ogre_frameset_2017,8,7,2017,749.99
54,trek_domane_sl_disc_frameset_2017,9,7,2017,3199.99
55,trek_domane_s_6_2017,9,7,2017,2699.99
